Epoch,Time,Loss,Train_Acc,Val_Acc,Action
1,1.3m,2.7519,0.3807,0.6124,SAVE
2,2.7m,2.0752,0.5802,0.6447,SAVE
3,4.1m,1.9351,0.6158,0.6668,SAVE
4,5.4m,1.8776,0.6322,0.6789,SAVE
5,6.8m,1.8371,0.6449,0.6834,SAVE
6,8.2m,1.8101,0.6508,0.6833,Stop: 1/50
7,9.6m,1.792,0.6584,0.6935,SAVE
8,11.0m,1.7754,0.6615,0.6942,SAVE
9,12.4m,1.7622,0.6645,0.6847,Stop: 1/50
10,13.7m,1.7513,0.6675,0.7024,SAVE
11,15.1m,1.742,0.67,0.6883,Stop: 1/50
12,16.5m,1.736,0.6714,0.6866,Stop: 2/50
13,17.9m,1.7229,0.6752,0.7067,SAVE
14,19.3m,1.7159,0.6753,0.6942,Stop: 1/50
15,20.6m,1.7096,0.678,0.6913,Stop: 2/50
16,22.0m,1.7009,0.6788,0.7065,Stop: 3/50
17,23.4m,1.6963,0.6804,0.6984,Stop: 4/50
18,24.8m,1.688,0.6795,0.6837,Stop: 5/50
19,26.2m,1.683,0.682,0.7127,SAVE
20,27.6m,1.6731,0.6834,0.7148,SAVE
21,28.9m,1.6676,0.685,0.7017,Stop: 1/50
22,30.3m,1.6636,0.6858,0.7133,Stop: 2/50
23,31.7m,1.6577,0.6866,0.7008,Stop: 3/50
24,33.1m,1.6591,0.684,0.7,Stop: 4/50
25,34.5m,1.6487,0.6873,0.6951,Stop: 5/50
26,35.9m,1.6482,0.686,0.7132,Stop: 6/50
27,37.2m,1.6447,0.6883,0.7028,Stop: 7/50
28,38.6m,1.6443,0.686,0.7002,Stop: 8/50
29,40.0m,1.6314,0.6901,0.715,SAVE
30,41.4m,1.6288,0.6892,0.7132,Stop: 1/50
31,42.8m,1.6233,0.6903,0.7093,Stop: 2/50
32,44.1m,1.6193,0.6929,0.6941,Stop: 3/50
33,45.5m,1.6207,0.6905,0.718,SAVE
34,46.9m,1.6158,0.6936,0.7122,Stop: 1/50
35,48.3m,1.6155,0.6921,0.6933,Stop: 2/50
36,49.7m,1.6117,0.6934,0.7081,Stop: 3/50
37,51.1m,1.61,0.6936,0.7161,Stop: 4/50
38,52.5m,1.6056,0.6951,0.7063,Stop: 5/50
39,53.8m,1.6003,0.6967,0.7088,Stop: 6/50
40,55.2m,1.5965,0.6977,0.712,Stop: 7/50
41,56.6m,1.5969,0.6966,0.7156,Stop: 8/50
42,58.0m,1.5891,0.6996,0.7208,SAVE
43,59.4m,1.5864,0.7012,0.7164,Stop: 1/50
44,60.8m,1.5902,0.6999,0.7067,Stop: 2/50
45,62.2m,1.5829,0.7014,0.7053,Stop: 3/50
46,63.5m,1.5792,0.7022,0.7157,Stop: 4/50
47,64.9m,1.5768,0.7048,0.7147,Stop: 5/50
48,66.3m,1.5777,0.7044,0.7194,Stop: 6/50
49,67.7m,1.5754,0.7053,0.7207,Stop: 7/50
50,69.1m,1.5697,0.7065,0.7112,Stop: 8/50
51,70.5m,1.5629,0.7071,0.7164,Stop: 9/50
52,71.8m,1.5661,0.7059,0.7203,Stop: 10/50
53,73.2m,1.5638,0.7072,0.7183,Stop: 11/50
54,74.6m,1.5629,0.7074,0.7181,Stop: 12/50
55,76.0m,1.5615,0.7093,0.7201,Stop: 13/50
56,77.4m,1.561,0.7092,0.7121,Stop: 14/50
57,78.7m,1.5539,0.7103,0.7152,Stop: 15/50
58,80.1m,1.556,0.711,0.7226,SAVE
59,81.5m,1.551,0.7124,0.7182,Stop: 1/50
60,82.9m,1.5479,0.7117,0.7175,Stop: 2/50
61,84.3m,1.5449,0.7135,0.7128,Stop: 3/50
62,85.6m,1.5531,0.7109,0.7167,Stop: 4/50
63,87.0m,1.5402,0.7147,0.7203,Stop: 5/50
64,88.4m,1.5413,0.7147,0.7157,Stop: 6/50
65,89.8m,1.5409,0.7132,0.7249,SAVE
66,91.1m,1.5398,0.714,0.7244,Stop: 1/50
67,92.5m,1.5378,0.7156,0.7218,Stop: 2/50
68,93.9m,1.5343,0.7163,0.7249,SAVE
69,95.3m,1.5329,0.718,0.7156,Stop: 1/50
70,96.7m,1.5326,0.7171,0.7185,Stop: 2/50
71,98.1m,1.5375,0.7161,0.715,Stop: 3/50
72,99.4m,1.5305,0.7176,0.7287,SAVE
73,100.8m,1.529,0.7202,0.7268,Stop: 1/50
74,102.2m,1.5284,0.7185,0.6938,Stop: 2/50
75,103.6m,1.5308,0.7181,0.7194,Stop: 3/50
76,105.0m,1.5245,0.7213,0.7172,Stop: 4/50
77,106.4m,1.5249,0.718,0.7164,Stop: 5/50
78,107.8m,1.5232,0.72,0.7166,Stop: 6/50
79,109.1m,1.5181,0.722,0.721,Stop: 7/50
80,110.5m,1.5213,0.7201,0.7226,Stop: 8/50
81,111.9m,1.5137,0.7243,0.7208,Stop: 9/50
82,113.3m,1.5144,0.7235,0.7253,Stop: 10/50
83,114.7m,1.517,0.7215,0.7264,Stop: 11/50
84,116.1m,1.5094,0.7263,0.7198,Stop: 12/50
85,117.4m,1.5143,0.7229,0.7225,Stop: 13/50
86,118.8m,1.5083,0.7262,0.7149,Stop: 14/50
87,120.2m,1.5077,0.7256,0.718,Stop: 15/50
88,121.6m,1.5065,0.7248,0.7291,SAVE
89,123.0m,1.5064,0.7255,0.7295,SAVE
90,124.4m,1.5078,0.7261,0.7286,Stop: 1/50
91,125.7m,1.5021,0.7277,0.7249,Stop: 2/50
92,127.1m,1.5024,0.7281,0.7211,Stop: 3/50
93,128.5m,1.5024,0.728,0.7284,Stop: 4/50
94,129.9m,1.5013,0.7274,0.7264,Stop: 5/50
95,131.3m,1.5043,0.7261,0.7259,Stop: 6/50
96,132.7m,1.4994,0.7288,0.7244,Stop: 7/50
97,134.0m,1.4924,0.7296,0.7296,SAVE
98,135.4m,1.4938,0.728,0.7273,Stop: 1/50
99,136.8m,1.4949,0.73,0.7269,Stop: 2/50
100,138.2m,1.494,0.7292,0.7236,Stop: 3/50
101,139.6m,1.4923,0.7313,0.7272,Stop: 4/50
102,140.9m,1.4895,0.7318,0.7244,Stop: 5/50
103,142.3m,1.4898,0.7312,0.7267,Stop: 6/50
104,143.7m,1.4886,0.7309,0.7287,Stop: 7/50
105,145.1m,1.4848,0.7337,0.7268,Stop: 8/50
106,146.5m,1.4851,0.7333,0.7251,Stop: 9/50
107,147.9m,1.4842,0.7333,0.7232,Stop: 10/50
108,149.2m,1.4853,0.7335,0.7283,Stop: 11/50
109,150.6m,1.4785,0.7345,0.7274,Stop: 12/50
