epoch,loss,train_acc,val_acc
1,2.6052,0.4168,0.6224
2,1.9448,0.6081,0.6579
3,1.8203,0.643,0.675
4,1.7711,0.6558,0.6827
5,1.7372,0.6661,0.6867
6,1.7114,0.6726,0.6849
7,1.698,0.6774,0.6937
8,1.6798,0.6814,0.6971
9,1.6691,0.6843,0.6849
10,1.6568,0.6896,0.7088
11,1.6466,0.6896,0.6843
12,1.6413,0.6919,0.6895
13,1.63,0.6959,0.71
14,1.62,0.6986,0.7007
15,1.6154,0.6997,0.6941
16,1.6068,0.7002,0.7088
17,1.6032,0.7022,0.7063
18,1.5942,0.7036,0.6916
19,1.5906,0.7044,0.7164
20,1.5843,0.7052,0.7133
21,1.5755,0.7063,0.7044
22,1.5713,0.7103,0.718
23,1.5639,0.71,0.7099
24,1.5664,0.7086,0.7112
25,1.5537,0.7125,0.7111
26,1.5515,0.7116,0.7177
27,1.5483,0.7132,0.7061
28,1.5447,0.7124,0.7049
29,1.5325,0.7154,0.7159
30,1.5285,0.7183,0.7162
31,1.5248,0.7187,0.7116
32,1.5189,0.7206,0.7074
33,1.5164,0.7198,0.7166
34,1.5133,0.7221,0.7185
35,1.5112,0.7219,0.7096
36,1.5023,0.7242,0.7182
37,1.502,0.7234,0.72
38,1.4966,0.7257,0.7143
39,1.4915,0.7276,0.7152
40,1.4872,0.7285,0.7183
41,1.4828,0.7279,0.7194
42,1.475,0.7328,0.7217
43,1.4722,0.7332,0.7228
44,1.4762,0.7317,0.7183
45,1.4646,0.7361,0.7143
46,1.4604,0.7358,0.7103
47,1.4592,0.7369,0.7128
48,1.4558,0.7392,0.7242
49,1.4523,0.7391,0.7215
50,1.4486,0.7419,0.7111
51,1.4457,0.7401,0.7236
52,1.4456,0.7406,0.7228
53,1.4376,0.7432,0.7211
54,1.4369,0.7434,0.7264
55,1.4339,0.745,0.7215
56,1.4315,0.7461,0.7195
57,1.4269,0.7466,0.7146
58,1.4277,0.7466,0.7238
59,1.4215,0.7498,0.7222
60,1.4182,0.7491,0.7257
61,1.4169,0.7495,0.7259
62,1.4203,0.7503,0.7287
63,1.4106,0.7533,0.7172
64,1.4101,0.7527,0.7192
65,1.405,0.7546,0.7288
66,1.406,0.7546,0.7279
67,1.4011,0.7557,0.7228
68,1.4003,0.7565,0.7256
69,1.3995,0.7564,0.7178
70,1.3973,0.7578,0.7271
71,1.3974,0.7576,0.7228
72,1.3939,0.7594,0.7301
73,1.3918,0.7598,0.7297
74,1.3921,0.7595,0.7129
75,1.3907,0.7603,0.7216
76,1.3825,0.7631,0.728
77,1.3851,0.7609,0.7264
78,1.3819,0.7627,0.7196
79,1.3793,0.7641,0.7188
80,1.3811,0.7623,0.7267
81,1.3754,0.7662,0.7264
82,1.3771,0.7654,0.7275
83,1.3733,0.7652,0.7297
84,1.3703,0.7673,0.7204
85,1.3713,0.7663,0.7274
86,1.3657,0.7678,0.7268
87,1.3662,0.7678,0.7298
88,1.3679,0.7667,0.7343
89,1.3669,0.7693,0.7284
90,1.3629,0.7699,0.7303
91,1.3604,0.7699,0.7269
92,1.359,0.7713,0.7201
93,1.3579,0.7708,0.7277
94,1.3583,0.7718,0.7287
95,1.3575,0.7709,0.7307
96,1.3562,0.7712,0.7319
97,1.3462,0.7756,0.7299
98,1.3467,0.7749,0.7343
99,1.3502,0.7734,0.7269
100,1.3465,0.7744,0.7184
101,1.3447,0.7752,0.731
102,1.3449,0.7759,0.728
103,1.3436,0.7774,0.7317
104,1.3411,0.7779,0.7332
105,1.3412,0.7769,0.7252
106,1.3392,0.7779,0.7234
107,1.336,0.7792,0.7275
108,1.3371,0.7796,0.7273
109,1.3317,0.7801,0.7309
110,1.3301,0.781,0.7253
111,1.3283,0.782,0.7287
112,1.3322,0.7812,0.7217
113,1.3314,0.7809,0.7243
114,1.3276,0.7819,0.73
115,1.3316,0.7803,0.7234
116,1.3252,0.7835,0.7299
117,1.3224,0.7848,0.7257
118,1.3251,0.7834,0.7284
119,1.325,0.7834,0.7262
120,1.3174,0.7855,0.7273
121,1.318,0.7843,0.7315
122,1.321,0.785,0.7257
123,1.3185,0.7853,0.7294
124,1.3127,0.7882,0.7222
125,1.3132,0.7875,0.7318
126,1.3097,0.7883,0.7256
127,1.3126,0.7881,0.7222
128,1.3092,0.789,0.7313
129,1.3083,0.7894,0.7288
130,1.312,0.7885,0.7243
131,1.3082,0.7885,0.734
132,1.303,0.7925,0.7325
133,1.3055,0.7899,0.7295
134,1.3053,0.7913,0.7272
135,1.3006,0.7934,0.7285
136,1.2991,0.7929,0.7337
137,1.2995,0.7931,0.7306
138,1.2972,0.7947,0.7323
